amount,pickup_time,startX,startY,endX,endY 
1,2013-11-18 16:00:00,-73.9466301,-40.7766012,-73.9548817,-40.7639862
1,2013-11-18 16:00:00,-73.8665728,-40.7711454,-74.008233,-40.721966
1,2013-11-18 16:00:00,-73.9877697,-40.7212285,-73.9899192,-40.7344614
5,2013-11-18 16:00:00,-73.9676039,-40.7660762,-73.9755454,-40.7760414
1,2013-11-18 16:00:00,-73.9799375,-40.7547823,-73.9811523,-40.7792635
1,2013-11-18 16:00:00,-73.991563,-40.749706,-73.9814414,-40.7635839
1,2013-11-18 16:00:00,-73.9895958,-40.7415497,-74.001095,-40.736564
1,2013-11-18 16:00:00,-73.9846345,-40.7592117,-74.0120976,-40.7013204
5,2013-11-18 16:00:00,-73.9641825,-40.7703607,-73.9668127,-40.7641054
1,2013-11-18 16:00:00,-73.9714516,-40.7577482,-73.9645003,-40.7589776
2,2013-11-18 16:00:00,-73.9714037,-40.7635979,-73.9837233,-40.7604662
1,2013-11-18 16:00:00,-73.992225,-40.737917,-73.9638433,-40.7653085
2,2013-11-18 16:00:00,-73.961219,-40.755889,-73.9525725,-40.7807525
1,2013-11-18 16:00:00,-73.985043,-40.753554,-73.99798,-40.722663
1,2013-11-18 16:00:00,-73.995018,-40.73986,-73.8640899,-40.7698229
5,2013-11-18 16:00:00,-73.9881523,-40.737729,-73.9831666,-40.7561419
6,2013-11-18 16:00:00,-73.9792861,-40.7528022,-73.9823814,-40.7673981
1,2013-11-18 16:00:00,-73.9626301,-40.7756284,-73.9588148,-40.7808569
2,2013-11-18 16:00:00,-73.990276,-40.756567,-73.9885656,-40.7691032
5,2013-11-18 16:00:00,-73.9650969,-40.7691072,-73.9626301,-40.7756284
1,2013-11-18 16:00:00,-73.9550916,-40.7801739,-73.948881,-40.7775516
6,2013-11-18 16:00:00,-73.8739364,-40.7737968,-73.976289,-40.759787
2,2013-11-18 16:00:00,-73.9617136,-40.7710998,-73.9565682,-40.7807974
2,2013-11-18 16:00:00,-73.983177,-40.744562,-74.001326,-40.746492
4,2013-11-18 16:00:00,-73.9967873,-40.7527219,-74.0086582,-40.7113879
1,2013-11-18 16:00:00,-73.9795321,-40.7662134,-73.832924,-40.761522
1,2013-11-18 16:00:00,-73.9789844,-40.750313,-73.9760685,-40.7555872
1,2013-11-18 16:00:00,-73.9758906,-40.7889211,-73.9713467,-40.7978216
1,2013-11-18 16:00:00,-73.9831666,-40.7561419,-74.0132859,-40.7160692
1,2013-11-18 16:00:00,-73.9783287,-40.7831525,-73.9550881,-40.7733306
2,2013-11-18 16:00:00,-73.9618167,-40.7599605,-73.975394,-40.745442
1,2013-11-18 16:00:00,-73.967534,-40.771776,-73.9537477,-40.7668547
3,2013-11-18 16:00:00,-73.9776851,-40.7636462,-73.9740539,-40.7572106
1,2013-11-18 16:00:00,-73.9709542,-40.7642198,-73.981341,-40.758645
1,2013-11-18 16:00:00,-73.981372,-40.752814,-73.9929759,-40.7528582
1,2013-11-18 16:00:00,-74.0132157,-40.7151981,-74.0083336,-40.7027059
2,2013-11-18 16:00:00,-73.9715574,-40.7602506,-73.983624,-40.755516
1,2013-11-18 16:00:00,-73.9875847,-40.7653543,-73.7821694,-40.6484326
1,2013-11-18 16:00:00,-73.8668057,-40.7701744,-73.9788284,-40.787568
6,2013-11-18 16:00:00,-73.9611629,-40.7566813,-73.975102,-40.752741
5,2013-11-18 16:00:00,-73.9980073,-40.7459513,-73.983177,-40.744562
6,2013-11-18 16:00:00,-73.9877652,-40.7497921,-74.0052181,-40.7059869
1,2013-11-18 16:00:00,-73.9582675,-40.7789071,-73.9776997,-40.7870782
1,2013-11-18 16:00:00,-73.9707975,-40.7797899,-73.9707975,-40.7797899
6,2013-11-18 16:00:00,-73.974935,-40.7501,-73.99111,-40.750319
5,2013-11-18 16:00:00,-73.9470669,-40.7842389,-73.9522576,-40.8238602
1,2013-11-18 16:00:00,-73.870419,-40.7735296,-73.983264,-40.694814
5,2013-11-18 16:00:00,-73.977875,-40.754728,-73.9872889,-40.750458
3,2013-11-18 16:00:00,-73.994709,-40.745383,-73.999684,-40.738552
5,2013-11-18 16:00:00,-73.962472,-40.7671877,-73.9527214,-40.7723305
1,2013-11-18 16:00:00,-73.7808766,-40.645095,-73.9763253,-40.7542058
2,2013-11-18 16:00:00,-73.9706085,-40.7615514,-73.976234,-40.765675
1,2013-11-18 16:00:00,-73.997341,-40.736668,-74.0076525,-40.7083571
2,2013-11-18 16:00:00,-73.980395,-40.754155,-73.972553,-40.764898
1,2013-11-18 16:00:00,-73.975558,-40.752116,-73.9822752,-40.7458104
1,2013-11-18 16:00:00,-73.99798,-40.722663,-73.9753942,-40.7330832
1,2013-11-18 16:00:00,-73.978601,-40.762396,-73.9773621,-40.7844628
2,2013-11-18 16:00:00,-73.9737519,-40.7545964,-73.982724,-40.750959
1,2013-11-18 16:00:00,-73.971217,-40.755193,-73.8634921,-40.7689885
1,2013-11-18 16:00:00,-73.9854922,-40.747168,-73.980859,-40.74197
1,2013-11-18 16:00:00,-73.998072,-40.730288,-73.977586,-40.71325
1,2013-11-18 16:00:00,-73.9931565,-40.7628026,-73.9509721,-40.7706551
5,2013-11-18 16:00:00,-73.9795321,-40.7662134,-73.9504717,-40.7713798
1,2013-11-18 16:00:00,-73.9559988,-40.7678043,-73.9585591,-40.7590576
1,2013-11-18 16:00:00,-74.00177,-40.735762,-73.998812,-40.723021
1,2013-11-18 16:00:00,-73.9713198,-40.7609688,-73.968441,-40.770517
1,2013-11-18 16:00:00,-74.002691,-40.744622,-73.9789946,-40.736191
5,2013-11-18 16:00:00,-73.8665728,-40.7711454,-73.9630866,-40.7750035
1,2013-11-18 16:00:00,-73.9817975,-40.7580163,-73.981822,-40.752197
1,2013-11-18 16:00:00,-73.975106,-40.689698,-73.986639,-40.755035
1,2013-11-18 16:00:00,-73.988787,-40.753517,-73.986458,-40.75671
1,2013-11-18 16:00:00,-73.9817098,-40.7671189,-73.9544622,-40.8082079
1,2013-11-18 16:00:00,-73.994118,-40.735313,-73.9971275,-40.7223037
1,2013-11-18 16:00:00,-73.7808766,-40.645095,-73.7898948,-40.6468309
1,2013-11-18 16:00:00,-73.9811764,-40.7818019,-73.9930688,-40.7578265
6,2013-11-18 16:00:00,-73.7770685,-40.6467428,-73.9776851,-40.7636462
1,2013-11-18 16:00:00,-73.9785655,-40.7566543,-73.9698766,-40.7629524
6,2013-11-18 16:00:00,-73.9658998,-40.7653573,-73.955613,-40.7642941
2,2013-11-18 16:00:00,-74.0021986,-40.7296932,-73.9629737,-40.7624875
6,2013-11-18 16:00:00,-74.002691,-40.744622,-74.006737,-40.730947
1,2013-11-18 16:00:00,-73.986399,-40.7517,-74.0025769,-40.7560207
