problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,OP.RT-FFD-Step-counting-hill-climbing-with-entity-tabu-and-strategic-oscillation,5519470499984739720,0,12091,249999923,12157,2245
DEFAULT,,OP.RT-FFD-Step-counting-hill-climbing-with-entity-tabu-and-strategic-oscillation,-570648509535936272,0,12492,250000193,12549,1853
DEFAULT,,OP.RT-FFD-Step-counting-hill-climbing-with-entity-tabu-and-strategic-oscillation,-5814032274792701469,0,12340,250000122,12398,2004
