problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,OP.RT-FFD-Step-counting-hill-climbing-with-entity-tabu-and-strategic-oscillation,5519470499984739720,0,12075,249998469,12146,2256
DEFAULT,,OP.RT-FFD-Step-counting-hill-climbing-with-entity-tabu-and-strategic-oscillation,-570648509535936272,0,12440,249999307,12500,1902
DEFAULT,,OP.RT-FFD-Step-counting-hill-climbing-with-entity-tabu-and-strategic-oscillation,-5814032274792701469,0,12013,249999780,12081,2321
