start_time,startX,startY 
2013-11-18 15:00:29,-73.9847694,-40.7692182
2013-11-18 15:00:29,-73.9781397,-40.763023
2013-11-18 15:00:29,-74.005854,-40.736534
2013-11-18 15:00:30,-73.976234,-40.765675
2013-11-18 15:00:30,-73.969127,-40.7667187
2013-11-18 15:00:30,-73.9822255,-40.7683169
2013-11-18 15:00:30,-73.982724,-40.750959
2013-11-18 15:00:31,-73.9559988,-40.7678043
2013-11-18 15:00:31,-73.9967162,-40.725502
2013-11-18 15:00:31,-73.8739364,-40.7737968
2013-11-18 15:00:31,-73.9745531,-40.7832296
2013-11-18 15:00:31,-73.9776851,-40.7636462
2013-11-18 15:00:32,-73.870419,-40.7735296
2013-11-18 15:00:32,-73.978601,-40.762396
2013-11-18 15:00:32,-73.9504717,-40.7713798
2013-11-18 15:00:34,-74.007097,-40.715998
2013-11-18 15:00:34,-73.9527214,-40.7723305
2013-11-18 15:00:35,-73.99111,-40.750319
2013-11-18 15:00:35,-73.974915,-40.761667
2013-11-18 15:00:36,-73.989243,-40.752895
2013-11-18 15:00:36,-73.994709,-40.745383
2013-11-18 15:00:37,-73.993147,-40.727867
2013-11-18 15:00:37,-74.0144047,-40.7036108
2013-11-18 15:00:37,-73.9657798,-40.7685831
2013-11-18 15:00:37,-73.983148,-40.7388264
2013-11-18 15:00:37,-73.9798438,-40.7489146
2013-11-18 15:00:37,-73.97076,-40.755825
2013-11-18 15:00:38,-73.9825954,-40.7823951
2013-11-18 15:00:38,-73.9737663,-40.7603636
2013-11-18 15:00:38,-73.986961,-40.736465
2013-11-18 15:00:40,-73.975591,-40.75786
2013-11-18 15:00:40,-73.9822752,-40.7458104
2013-11-18 15:00:40,-73.9877652,-40.7497921
2013-11-18 15:00:40,-74.0159512,-40.7151089
2013-11-18 15:00:40,-73.959411,-40.7742552
2013-11-18 15:00:41,-73.982724,-40.750959
2013-11-18 15:00:41,-74.000183,-40.737865
2013-11-18 15:00:42,-74.007483,-40.740942
2013-11-18 15:00:42,-73.984118,-40.754842
2013-11-18 15:00:42,-73.9909131,-40.7709763
2013-11-18 15:00:43,-73.9777264,-40.7422757
2013-11-18 15:00:43,-73.7770685,-40.6467428
2013-11-18 15:00:43,-73.985243,-40.744627
2013-11-18 15:00:44,-73.976288,-40.748245
2013-11-18 15:00:44,-73.9570636,-40.7801184
2013-11-18 15:00:44,-73.9628569,-40.7941908
2013-11-18 15:00:45,-74.006737,-40.730947
2013-11-18 15:00:45,-73.9527041,-40.7765623
2013-11-18 15:00:46,-73.9789382,-40.785123
2013-11-18 15:00:46,-73.9578726,-40.7694751
2013-11-18 15:00:46,-73.942913,-40.777493
2013-11-18 15:00:46,-73.9841339,-40.6961133
2013-11-18 15:00:47,-73.9728492,-40.7933947
2013-11-18 15:00:47,-73.995645,-40.744099
2013-11-18 15:00:49,-73.95382,-40.7845639
2013-11-18 15:00:50,-73.9548817,-40.7639862
2013-11-18 15:00:50,-73.99684,-40.737361
2013-11-18 15:00:50,-73.952743,-40.789168
2013-11-18 15:00:51,-73.9685157,-40.764823
2013-11-18 15:00:51,-73.9675289,-40.7928581
2013-11-18 15:00:51,-73.9823574,-40.7623343
2013-11-18 15:00:51,-73.9949814,-40.7603
2013-11-18 15:00:52,-73.9635486,-40.7743723
2013-11-18 15:00:52,-74.008747,-40.719029
2013-11-18 15:00:52,-73.9661079,-40.789736
2013-11-18 15:00:52,-73.98179,-40.728446
2013-11-18 15:00:52,-73.9746829,-40.7591101
2013-11-18 15:00:53,-73.9672707,-40.7634817
2013-11-18 15:00:53,-74.0056333,-40.7507927
2013-11-18 15:00:53,-73.9629223,-40.7583127
2013-11-18 15:00:53,-73.9611664,-40.7776355
2013-11-18 15:00:55,-74.0159512,-40.7151089
2013-11-18 15:00:55,-73.9617136,-40.7710998
2013-11-18 15:00:55,-73.9718586,-40.7629781
2013-11-18 15:00:55,-73.870419,-40.7735296
2013-11-18 15:00:55,-73.9591761,-40.7717042
2013-11-18 15:00:56,-73.9578658,-40.7821571
2013-11-18 15:00:56,-73.976251,-40.740026
2013-11-18 15:00:56,-73.969431,-40.753624
2013-11-18 15:00:56,-73.993147,-40.727867
2013-11-18 15:00:56,-73.9822537,-40.7573902
2013-11-18 15:00:57,-73.9788209,-40.7824641
2013-11-18 15:00:57,-73.946523,-40.707011
2013-11-18 15:00:57,-73.9611475,-40.7649877
2013-11-18 15:00:57,-73.957888,-40.761175
2013-11-18 15:00:57,-73.9816372,-40.7803121
2013-11-18 15:00:57,-73.9668127,-40.7641054
2013-11-18 15:00:58,-73.790347,-40.6463149
2013-11-18 15:00:58,-73.9560335,-40.7846666
2013-11-18 15:00:58,-73.9809839,-40.764219
2013-11-18 15:00:58,-73.9571722,-40.7859848
2013-11-18 15:00:58,-73.9642995,-40.7646823
2013-11-18 15:00:58,-73.9620184,-40.7678094
2013-11-18 15:00:59,-74.011576,-40.704019
2013-11-18 15:00:59,-73.9636198,-40.7684845
2013-11-18 15:00:59,-73.9504398,-40.7865321
2013-11-18 15:00:59,-74.0119281,-40.7028291
2013-11-18 15:00:59,-73.968904,-40.769901
2013-11-18 15:00:59,-73.983443,-40.747098
2013-11-18 15:01:00,-73.7897465,-40.6433607
2013-11-18 15:01:00,-73.9726737,-40.7858043
2013-11-18 15:01:00,-73.9881847,-40.7747491
2013-11-18 15:01:00,-74.0137307,-40.7137083
2013-11-18 15:01:00,-74.015825,-40.7115217
2013-11-18 15:01:00,-73.977201,-40.758538
2013-11-18 15:01:00,-73.9568144,-40.8126067
2013-11-18 15:01:00,-73.973968,-40.762967
2013-11-18 15:01:00,-73.9808828,-40.7592744
2013-11-18 15:01:00,-73.9650969,-40.7691072
2013-11-18 15:01:00,-73.971679,-40.746297
2013-11-18 15:01:00,-73.9786487,-40.7858192
2013-11-18 15:01:00,-73.985428,-40.741471
2013-11-18 15:01:00,-73.9783287,-40.7831525
2013-11-18 15:01:00,-73.9656637,-40.7903601
2013-11-18 15:01:00,-73.998524,-40.719786
2013-11-18 15:01:00,-73.993739,-40.741617
2013-11-18 15:01:00,-73.9832025,-40.7503045
2013-11-18 15:01:00,-73.990067,-40.746659
2013-11-18 15:01:00,-73.977201,-40.758538
2013-11-18 15:01:00,-74.0030758,-40.739073
2013-11-18 15:01:00,-73.9570636,-40.7801184
2013-11-18 15:01:00,-73.9815997,-40.7496412
2013-11-18 15:01:00,-73.987726,-40.738317
2013-11-18 15:01:00,-74.0144148,-40.706088
2013-11-18 15:01:00,-73.7912621,-40.6458887
2013-11-18 15:01:00,-73.9707975,-40.7797899
2013-11-18 15:01:00,-73.9865537,-40.7180979
2013-11-18 15:01:00,-73.9832025,-40.7503045
2013-11-18 15:01:00,-73.9555856,-40.7794952
2013-11-18 15:01:00,-73.9775627,-40.7520707
2013-11-18 15:01:00,-73.9559988,-40.7678043
2013-11-18 15:01:00,-73.986399,-40.7517
2013-11-18 15:01:00,-73.990276,-40.756567
2013-11-18 15:01:00,-73.9820402,-40.7705153
2013-11-18 15:01:00,-73.9662396,-40.7580071
2013-11-18 15:01:00,-73.9633881,-40.7659323
2013-11-18 15:01:00,-73.9703295,-40.7623299
2013-11-18 15:01:00,-73.9649892,-40.7666073
2013-11-18 15:01:00,-73.989045,-40.736546
2013-11-18 15:01:00,-73.973512,-40.743782
2013-11-18 15:01:00,-73.9816869,-40.7836714
2013-11-18 15:01:00,-73.966136,-40.8047848
2013-11-18 15:01:00,-73.9485053,-40.7823112
2013-11-18 15:01:00,-73.9822148,-40.7647366
2013-11-18 15:01:00,-73.961839,-40.779584
2013-11-18 15:01:00,-73.975461,-40.776899
2013-11-18 15:01:00,-73.9602312,-40.7662424
2013-11-18 15:01:00,-73.9704968,-40.7648423
2013-11-18 15:01:00,-74.006385,-40.744646
2013-11-18 15:01:00,-73.9663887,-40.7704757
2013-11-18 15:01:00,-73.9786451,-40.7506192
2013-11-18 15:01:00,-73.972362,-40.756498
2013-11-18 15:01:00,-73.9647071,-40.7916741
2013-11-18 15:01:00,-73.9704968,-40.7648423
2013-11-18 15:01:00,-73.8746247,-40.7738171
2013-11-18 15:01:00,-73.9704968,-40.7648423
2013-11-18 15:01:00,-73.997007,-40.742228
2013-11-18 15:01:00,-74.001129,-40.741668
2013-11-18 15:01:00,-73.9773702,-40.7793645
2013-11-18 15:01:00,-73.9823574,-40.7623343
2013-11-18 15:01:00,-73.9737519,-40.7545964
2013-11-18 15:01:00,-73.9613336,-40.7742658
2013-11-18 15:01:00,-73.7911172,-40.645498
2013-11-18 15:01:00,-73.9799047,-40.7349899
2013-11-18 15:01:00,-73.9668481,-40.7698455
2013-11-18 15:01:00,-73.9685157,-40.764823
2013-11-18 15:01:00,-73.9573054,-40.7742676
2013-11-18 15:01:00,-74.0152242,-40.7098264
2013-11-18 15:01:00,-73.9759719,-40.7863673
2013-11-18 15:01:00,-73.7880273,-40.6417125
2013-11-18 15:01:00,-74.0043255,-40.7078336
2013-11-18 15:01:00,-73.999663,-40.679236
2013-11-18 15:01:00,-73.9901567,-40.7755821
2013-11-18 15:01:00,-73.9916837,-40.7597281
2013-11-18 15:01:00,-73.9880799,-40.7697676
