day,date,amount of pick_ups,amount of analytics.taxi's
Sunday,2013-01-13 19:00:00,19971,7904
Sunday,2013-01-13 20:00:00,17821,7250
Sunday,2013-01-13 21:00:00,16416,7060
Sunday,2013-01-13 22:00:00,15119,6731
Sunday,2013-01-13 23:00:00,13413,5960
Monday,2013-01-14 00:00:00,8533,4535
Monday,2013-01-14 01:00:00,5593,3344
Monday,2013-01-14 02:00:00,3447,2077
Monday,2013-01-14 03:00:00,2428,1507
Monday,2013-01-14 04:00:00,2549,1646
Monday,2013-01-14 05:00:00,4340,2625
Monday,2013-01-14 06:00:00,12020,5033
Monday,2013-01-14 07:00:00,22191,7413
Monday,2013-01-14 08:00:00,27209,8904
Monday,2013-01-14 09:00:00,25279,9357
Monday,2013-01-14 10:00:00,20570,9089
Monday,2013-01-14 11:00:00,19549,8824
Monday,2013-01-14 12:00:00,20342,8631
Monday,2013-01-14 13:00:00,20403,8872
Monday,2013-01-14 14:00:00,21837,9194
Monday,2013-01-14 15:00:00,22203,9048
Monday,2013-01-14 16:00:00,19639,8250
Monday,2013-01-14 17:00:00,23635,9051
Monday,2013-01-14 18:00:00,29442,10087
Monday,2013-01-14 19:00:00,28686,10017
Monday,2013-01-14 20:00:00,25383,9555
Monday,2013-01-14 21:00:00,25759,9350
Monday,2013-01-14 22:00:00,25342,8874
Monday,2013-01-14 23:00:00,16032,7653
Tuesday,2013-01-15 00:00:00,10187,5463
Tuesday,2013-01-15 01:00:00,6121,3399
Tuesday,2013-01-15 02:00:00,3784,2246
Tuesday,2013-01-15 03:00:00,2493,1577
Tuesday,2013-01-15 04:00:00,2239,1502
Tuesday,2013-01-15 05:00:00,3982,2525
Tuesday,2013-01-15 06:00:00,11741,5131
Tuesday,2013-01-15 07:00:00,23327,8066
Tuesday,2013-01-15 08:00:00,29452,9514
Tuesday,2013-01-15 09:00:00,27431,10137
Tuesday,2013-01-15 10:00:00,23392,9935
Tuesday,2013-01-15 11:00:00,22670,9546
Tuesday,2013-01-15 12:00:00,23582,9433
Tuesday,2013-01-15 13:00:00,23091,9571
Tuesday,2013-01-15 14:00:00,24957,9640
Tuesday,2013-01-15 15:00:00,24288,9337
Tuesday,2013-01-15 16:00:00,20609,8238
Tuesday,2013-01-15 17:00:00,26190,8955
Tuesday,2013-01-15 18:00:00,32951,10251
Tuesday,2013-01-15 19:00:00,33516,10511
Tuesday,2013-01-15 20:00:00,30805,10416
Tuesday,2013-01-15 21:00:00,30125,10088
Tuesday,2013-01-15 22:00:00,27721,9758
Tuesday,2013-01-15 23:00:00,20305,8929
Wednesday,2013-01-16 00:00:00,13211,6749
Wednesday,2013-01-16 01:00:00,7738,4276
Wednesday,2013-01-16 02:00:00,4720,2697
Wednesday,2013-01-16 03:00:00,3201,1968
Wednesday,2013-01-16 04:00:00,2963,1842
Wednesday,2013-01-16 05:00:00,4461,2618
Wednesday,2013-01-16 06:00:00,12950,5183
Wednesday,2013-01-16 07:00:00,24014,7882
Wednesday,2013-01-16 08:00:00,28256,9141
Wednesday,2013-01-16 09:00:00,26990,9585
Wednesday,2013-01-16 10:00:00,24805,9608
Wednesday,2013-01-16 11:00:00,23968,9533
Wednesday,2013-01-16 12:00:00,24567,9599
Wednesday,2013-01-16 13:00:00,22915,9502
Wednesday,2013-01-16 14:00:00,24833,9599
Wednesday,2013-01-16 15:00:00,22983,9163
Wednesday,2013-01-16 16:00:00,19147,8247
Wednesday,2013-01-16 17:00:00,24878,9126
Wednesday,2013-01-16 18:00:00,31708,10384
Wednesday,2013-01-16 19:00:00,32769,10715
Wednesday,2013-01-16 20:00:00,30477,10605
Wednesday,2013-01-16 21:00:00,29320,10295
Wednesday,2013-01-16 22:00:00,27291,10107
Wednesday,2013-01-16 23:00:00,19913,9220
Thursday,2013-01-17 00:00:00,13224,7180
Thursday,2013-01-17 01:00:00,7853,4624
Thursday,2013-01-17 02:00:00,5163,3058
Thursday,2013-01-17 03:00:00,3309,2105
Thursday,2013-01-17 04:00:00,3114,1962
Thursday,2013-01-17 05:00:00,4472,2793
Thursday,2013-01-17 06:00:00,12011,5396
Thursday,2013-01-17 07:00:00,23647,8278
Thursday,2013-01-17 08:00:00,28851,9582
Thursday,2013-01-17 09:00:00,26665,9943
Thursday,2013-01-17 10:00:00,22974,9764
Thursday,2013-01-17 11:00:00,22182,9540
Thursday,2013-01-17 12:00:00,23464,9678
Thursday,2013-01-17 13:00:00,22997,9725
Thursday,2013-01-17 14:00:00,25077,9843
Thursday,2013-01-17 15:00:00,24135,9374
Thursday,2013-01-17 16:00:00,19584,8258
Thursday,2013-01-17 17:00:00,24886,9300
Thursday,2013-01-17 18:00:00,32215,10459
Thursday,2013-01-17 19:00:00,33008,10826
Thursday,2013-01-17 20:00:00,32566,11007
Thursday,2013-01-17 21:00:00,32209,10858
Thursday,2013-01-17 22:00:00,30853,10536
Thursday,2013-01-17 23:00:00,25430,9934
Friday,2013-01-18 00:00:00,17982,8566
Friday,2013-01-18 01:00:00,11540,6160
Friday,2013-01-18 02:00:00,7778,4250
Friday,2013-01-18 03:00:00,5190,2990
Friday,2013-01-18 04:00:00,4354,2533
Friday,2013-01-18 05:00:00,4995,3048
Friday,2013-01-18 06:00:00,11995,5496
Friday,2013-01-18 07:00:00,23204,8277
Friday,2013-01-18 08:00:00,28918,9449
Friday,2013-01-18 09:00:00,27141,9852
Friday,2013-01-18 10:00:00,24376,9793
Friday,2013-01-18 11:00:00,24327,9647
Friday,2013-01-18 12:00:00,25121,9047
Friday,2013-01-18 13:00:00,24571,8966
Friday,2013-01-18 14:00:00,26291,9449
Friday,2013-01-18 15:00:00,24184,9212
Friday,2013-01-18 16:00:00,19435,8355
Friday,2013-01-18 17:00:00,23806,9230
Friday,2013-01-18 18:00:00,31886,10435
Friday,2013-01-18 19:00:00,34429,10878
Friday,2013-01-18 20:00:00,33088,11062
Friday,2013-01-18 21:00:00,31147,10844
Friday,2013-01-18 22:00:00,33136,10925
Friday,2013-01-18 23:00:00,31842,10711
Saturday,2013-01-19 00:00:00,29418,10423
Saturday,2013-01-19 01:00:00,24368,9629
Saturday,2013-01-19 02:00:00,20110,8435
Saturday,2013-01-19 03:00:00,15272,6908
Saturday,2013-01-19 04:00:00,10002,5038
Saturday,2013-01-19 05:00:00,5115,2969
Saturday,2013-01-19 06:00:00,5462,3089
Saturday,2013-01-19 07:00:00,7183,4003
Saturday,2013-01-19 08:00:00,10662,5453
Saturday,2013-01-19 09:00:00,15492,6718
Saturday,2013-01-19 10:00:00,18899,7830
Saturday,2013-01-19 11:00:00,21243,8457
Saturday,2013-01-19 12:00:00,22955,8720
Saturday,2013-01-19 13:00:00,24102,8933
Saturday,2013-01-19 14:00:00,23095,9123
Saturday,2013-01-19 15:00:00,22494,8778
Saturday,2013-01-19 16:00:00,21592,8219
Saturday,2013-01-19 17:00:00,24885,8719
Saturday,2013-01-19 18:00:00,29180,9893
Saturday,2013-01-19 19:00:00,31059,10256
Saturday,2013-01-19 20:00:00,27245,10389
Saturday,2013-01-19 21:00:00,26433,10122
Saturday,2013-01-19 22:00:00,30109,10330
Saturday,2013-01-19 23:00:00,32114,10434
Sunday,2013-01-20 00:00:00,31284,10251
Sunday,2013-01-20 01:00:00,27789,9676
Sunday,2013-01-20 02:00:00,23781,8869
Sunday,2013-01-20 03:00:00,18648,7599
Sunday,2013-01-20 04:00:00,11535,5672
Sunday,2013-01-20 05:00:00,4807,2865
Sunday,2013-01-20 06:00:00,4175,2564
Sunday,2013-01-20 07:00:00,5051,3077
Sunday,2013-01-20 08:00:00,7600,4062
Sunday,2013-01-20 09:00:00,11416,5245
Sunday,2013-01-20 10:00:00,16037,6627
Sunday,2013-01-20 11:00:00,19437,7489
Sunday,2013-01-20 12:00:00,21694,7921
Sunday,2013-01-20 13:00:00,22671,8374
Sunday,2013-01-20 14:00:00,23618,8742
Sunday,2013-01-20 15:00:00,22860,8615
Sunday,2013-01-20 16:00:00,21173,8145
Sunday,2013-01-20 17:00:00,22790,8126
Sunday,2013-01-20 18:00:00,26328,8554
Sunday,2013-01-20 19:00:00,22116,8524
Sunday,2013-01-20 20:00:00,20598,7917
Sunday,2013-01-20 21:00:00,21283,7577
Sunday,2013-01-20 22:00:00,22587,7462
Sunday,2013-01-20 23:00:00,18666,6912
Monday,2013-01-21 00:00:00,14942,5762
Monday,2013-01-21 01:00:00,10628,4512
Monday,2013-01-21 02:00:00,7350,3342
Monday,2013-01-21 03:00:00,5171,2570
Monday,2013-01-21 04:00:00,4060,2141
Monday,2013-01-21 05:00:00,3407,2109
Monday,2013-01-21 06:00:00,5553,3154
Monday,2013-01-21 07:00:00,8174,4459
Monday,2013-01-21 08:00:00,13724,6048
Monday,2013-01-21 09:00:00,16553,6827
Monday,2013-01-21 10:00:00,17151,7177
Monday,2013-01-21 11:00:00,19062,7517
Monday,2013-01-21 12:00:00,20880,7583
Monday,2013-01-21 13:00:00,21873,8046
Monday,2013-01-21 14:00:00,23137,8457
Monday,2013-01-21 15:00:00,22595,8527
Monday,2013-01-21 16:00:00,20722,8206
Monday,2013-01-21 17:00:00,22931,8358
Monday,2013-01-21 18:00:00,25800,9072
Monday,2013-01-21 19:00:00,23118,8667
Monday,2013-01-21 20:00:00,19844,8340
Monday,2013-01-21 21:00:00,18316,7952
Monday,2013-01-21 22:00:00,17695,7434
Monday,2013-01-21 23:00:00,12513,6343
Tuesday,2013-01-22 00:00:00,8134,4488
Tuesday,2013-01-22 01:00:00,4564,2802
Tuesday,2013-01-22 02:00:00,2818,1762
Tuesday,2013-01-22 03:00:00,2009,1291
Tuesday,2013-01-22 04:00:00,2132,1392
Tuesday,2013-01-22 05:00:00,4096,2527
Tuesday,2013-01-22 06:00:00,12538,5430
Tuesday,2013-01-22 07:00:00,23903,8348
Tuesday,2013-01-22 08:00:00,29774,9738
Tuesday,2013-01-22 09:00:00,27544,10219
Tuesday,2013-01-22 10:00:00,23887,10063
Tuesday,2013-01-22 11:00:00,23015,9813
Tuesday,2013-01-22 12:00:00,23758,9688
Tuesday,2013-01-22 13:00:00,23422,9735
Tuesday,2013-01-22 14:00:00,25601,9920
Tuesday,2013-01-22 15:00:00,25822,9694
Tuesday,2013-01-22 16:00:00,21812,8718
Tuesday,2013-01-22 17:00:00,26705,9403
Tuesday,2013-01-22 18:00:00,33486,10642
Tuesday,2013-01-22 19:00:00,33631,10831
Tuesday,2013-01-22 20:00:00,31590,10631
Tuesday,2013-01-22 21:00:00,30052,10218
Tuesday,2013-01-22 22:00:00,25992,9873
Tuesday,2013-01-22 23:00:00,17836,8687
Wednesday,2013-01-23 00:00:00,11044,6355
Wednesday,2013-01-23 01:00:00,6063,3754
Wednesday,2013-01-23 02:00:00,3649,2299
Wednesday,2013-01-23 03:00:00,2498,1628
Wednesday,2013-01-23 04:00:00,2458,1644
Wednesday,2013-01-23 05:00:00,4226,2656
Wednesday,2013-01-23 06:00:00,12893,5556
Wednesday,2013-01-23 07:00:00,25246,8335
Wednesday,2013-01-23 08:00:00,30661,9672
Wednesday,2013-01-23 09:00:00,29283,10190
Wednesday,2013-01-23 10:00:00,25109,10123
Wednesday,2013-01-23 11:00:00,24351,9997
Wednesday,2013-01-23 12:00:00,25826,9974
Wednesday,2013-01-23 13:00:00,24752,9926
Wednesday,2013-01-23 14:00:00,26691,10131
Wednesday,2013-01-23 15:00:00,25855,9773
Wednesday,2013-01-23 16:00:00,21415,8769
Wednesday,2013-01-23 17:00:00,26537,9302
Wednesday,2013-01-23 18:00:00,33647,10571
Wednesday,2013-01-23 19:00:00,34242,10864
Wednesday,2013-01-23 20:00:00,32592,10728
Wednesday,2013-01-23 21:00:00,30781,10294
Wednesday,2013-01-23 22:00:00,28395,9763
Wednesday,2013-01-23 23:00:00,19910,8977
Thursday,2013-01-24 00:00:00,12378,6631
Thursday,2013-01-24 01:00:00,7185,4142
Thursday,2013-01-24 02:00:00,4465,2627
Thursday,2013-01-24 03:00:00,2821,1744
Thursday,2013-01-24 04:00:00,2650,1687
Thursday,2013-01-24 05:00:00,4143,2529
Thursday,2013-01-24 06:00:00,12260,5085
Thursday,2013-01-24 07:00:00,23532,7657
Thursday,2013-01-24 08:00:00,28686,8909
Thursday,2013-01-24 09:00:00,27417,9246
Thursday,2013-01-24 10:00:00,23931,9259
Thursday,2013-01-24 11:00:00,23595,9205
Thursday,2013-01-24 12:00:00,24503,9106
Thursday,2013-01-24 13:00:00,24068,9115
Thursday,2013-01-24 14:00:00,25115,9157
Thursday,2013-01-24 15:00:00,25797,9297
Thursday,2013-01-24 16:00:00,21644,8524
Thursday,2013-01-24 17:00:00,26827,9367
Thursday,2013-01-24 18:00:00,33925,10577
Thursday,2013-01-24 19:00:00,36262,11085
Thursday,2013-01-24 20:00:00,35350,11230
Thursday,2013-01-24 21:00:00,34549,10899
Thursday,2013-01-24 22:00:00,32427,10533
Thursday,2013-01-24 23:00:00,26282,9988
Friday,2013-01-25 00:00:00,17993,8562
Friday,2013-01-25 01:00:00,11041,5930
Friday,2013-01-25 02:00:00,7144,3965
