day,date,amount of pick_ups,amount of analytics.taxi's
Tuesday,2013-01-01 00:00:00,28276,9671
Tuesday,2013-01-01 01:00:00,31010,9861
Tuesday,2013-01-01 02:00:00,28422,9508
Tuesday,2013-01-01 03:00:00,24578,8824
Tuesday,2013-01-01 04:00:00,17678,7330
Tuesday,2013-01-01 05:00:00,10456,4944
Tuesday,2013-01-01 06:00:00,7710,3752
Tuesday,2013-01-01 07:00:00,6695,3527
Tuesday,2013-01-01 08:00:00,5885,3468
Tuesday,2013-01-01 09:00:00,7336,3881
Tuesday,2013-01-01 10:00:00,10431,4808
Tuesday,2013-01-01 11:00:00,14585,5566
Tuesday,2013-01-01 12:00:00,18165,5984
Tuesday,2013-01-01 13:00:00,19244,6410
Tuesday,2013-01-01 14:00:00,19549,6781
Tuesday,2013-01-01 15:00:00,19264,6735
Tuesday,2013-01-01 16:00:00,17553,6441
Tuesday,2013-01-01 17:00:00,19185,6649
Tuesday,2013-01-01 18:00:00,20863,7321
Tuesday,2013-01-01 19:00:00,18000,7257
Tuesday,2013-01-01 20:00:00,15950,6854
Tuesday,2013-01-01 21:00:00,15561,6409
Tuesday,2013-01-01 22:00:00,14842,6122
Tuesday,2013-01-01 23:00:00,10814,5244
Wednesday,2013-01-02 00:00:00,7283,3875
Wednesday,2013-01-02 01:00:00,4398,2490
Wednesday,2013-01-02 02:00:00,2758,1645
Wednesday,2013-01-02 03:00:00,1936,1215
Wednesday,2013-01-02 04:00:00,2356,1480
Wednesday,2013-01-02 05:00:00,4009,2458
Wednesday,2013-01-02 06:00:00,10541,4624
Wednesday,2013-01-02 07:00:00,16845,6812
Wednesday,2013-01-02 08:00:00,22407,8421
Wednesday,2013-01-02 09:00:00,22215,8898
Wednesday,2013-01-02 10:00:00,19286,8833
Wednesday,2013-01-02 11:00:00,18823,8450
Wednesday,2013-01-02 12:00:00,20505,8675
Wednesday,2013-01-02 13:00:00,20753,8866
Wednesday,2013-01-02 14:00:00,21113,9099
Wednesday,2013-01-02 15:00:00,20729,8795
Wednesday,2013-01-02 16:00:00,18657,7863
Wednesday,2013-01-02 17:00:00,22478,8540
Wednesday,2013-01-02 18:00:00,26690,9723
Wednesday,2013-01-02 19:00:00,25868,9782
Wednesday,2013-01-02 20:00:00,21890,9175
Wednesday,2013-01-02 21:00:00,19813,8816
Wednesday,2013-01-02 22:00:00,18135,8342
Wednesday,2013-01-02 23:00:00,13453,7071
Thursday,2013-01-03 00:00:00,9528,5366
Thursday,2013-01-03 01:00:00,5991,3531
Thursday,2013-01-03 02:00:00,3912,2307
Thursday,2013-01-03 03:00:00,2661,1652
Thursday,2013-01-03 04:00:00,2634,1684
Thursday,2013-01-03 05:00:00,3833,2536
Thursday,2013-01-03 06:00:00,10238,4788
Thursday,2013-01-03 07:00:00,17714,7439
Thursday,2013-01-03 08:00:00,24162,9045
Thursday,2013-01-03 09:00:00,24978,9591
Thursday,2013-01-03 10:00:00,20898,9293
Thursday,2013-01-03 11:00:00,20430,9155
Thursday,2013-01-03 12:00:00,21494,9008
Thursday,2013-01-03 13:00:00,21967,9269
Thursday,2013-01-03 14:00:00,22595,9372
Thursday,2013-01-03 15:00:00,21729,8872
Thursday,2013-01-03 16:00:00,19331,8125
Thursday,2013-01-03 17:00:00,24015,8794
Thursday,2013-01-03 18:00:00,29842,9897
Thursday,2013-01-03 19:00:00,29682,10196
Thursday,2013-01-03 20:00:00,26143,10056
Thursday,2013-01-03 21:00:00,25746,9760
Thursday,2013-01-03 22:00:00,23230,9296
Thursday,2013-01-03 23:00:00,17340,8271
Friday,2013-01-04 00:00:00,12753,6722
Friday,2013-01-04 01:00:00,8105,4567
Friday,2013-01-04 02:00:00,5367,3086
Friday,2013-01-04 03:00:00,3679,2224
Friday,2013-01-04 04:00:00,3193,1953
Friday,2013-01-04 05:00:00,3791,2462
Friday,2013-01-04 06:00:00,10084,4706
Friday,2013-01-04 07:00:00,18117,7369
Friday,2013-01-04 08:00:00,24451,8802
Friday,2013-01-04 09:00:00,24455,9206
Friday,2013-01-04 10:00:00,20889,9051
Friday,2013-01-04 11:00:00,20714,8939
Friday,2013-01-04 12:00:00,22053,8354
Friday,2013-01-04 13:00:00,21966,8661
Friday,2013-01-04 14:00:00,23172,9262
Friday,2013-01-04 15:00:00,22363,8889
Friday,2013-01-04 16:00:00,19904,8148
Friday,2013-01-04 17:00:00,24408,8794
Friday,2013-01-04 18:00:00,30487,10136
Friday,2013-01-04 19:00:00,33143,10508
Friday,2013-01-04 20:00:00,29368,10677
Friday,2013-01-04 21:00:00,27323,10341
Friday,2013-01-04 22:00:00,29310,10276
Friday,2013-01-04 23:00:00,27404,10094
Saturday,2013-01-05 00:00:00,25579,9694
Saturday,2013-01-05 01:00:00,21129,8790
Saturday,2013-01-05 02:00:00,16856,7389
Saturday,2013-01-05 03:00:00,12307,5873
Saturday,2013-01-05 04:00:00,7591,4202
Saturday,2013-01-05 05:00:00,3638,2391
Saturday,2013-01-05 06:00:00,4116,2611
Saturday,2013-01-05 07:00:00,6144,3622
Saturday,2013-01-05 08:00:00,8820,4812
Saturday,2013-01-05 09:00:00,13582,6241
Saturday,2013-01-05 10:00:00,17176,7364
Saturday,2013-01-05 11:00:00,20303,8125
Saturday,2013-01-05 12:00:00,21819,8393
Saturday,2013-01-05 13:00:00,22592,8916
Saturday,2013-01-05 14:00:00,22234,9017
Saturday,2013-01-05 15:00:00,23058,8776
Saturday,2013-01-05 16:00:00,21737,8101
Saturday,2013-01-05 17:00:00,24908,8691
Saturday,2013-01-05 18:00:00,27783,9807
Saturday,2013-01-05 19:00:00,30068,10137
Saturday,2013-01-05 20:00:00,26274,10155
Saturday,2013-01-05 21:00:00,24741,9760
Saturday,2013-01-05 22:00:00,29180,10170
Saturday,2013-01-05 23:00:00,30414,10145
Sunday,2013-01-06 00:00:00,28863,9756
Sunday,2013-01-06 01:00:00,25421,9165
Sunday,2013-01-06 02:00:00,21180,8243
Sunday,2013-01-06 03:00:00,15678,6921
Sunday,2013-01-06 04:00:00,9360,4903
Sunday,2013-01-06 05:00:00,4032,2572
Sunday,2013-01-06 06:00:00,3894,2430
Sunday,2013-01-06 07:00:00,5074,3044
Sunday,2013-01-06 08:00:00,8078,4104
Sunday,2013-01-06 09:00:00,11143,5070
Sunday,2013-01-06 10:00:00,15812,6438
Sunday,2013-01-06 11:00:00,18852,7345
Sunday,2013-01-06 12:00:00,21321,7818
Sunday,2013-01-06 13:00:00,21204,8243
Sunday,2013-01-06 14:00:00,21324,8554
Sunday,2013-01-06 15:00:00,20786,8358
Sunday,2013-01-06 16:00:00,20470,7901
Sunday,2013-01-06 17:00:00,21282,7936
Sunday,2013-01-06 18:00:00,22049,8346
Sunday,2013-01-06 19:00:00,19860,7849
Sunday,2013-01-06 20:00:00,17370,7431
Sunday,2013-01-06 21:00:00,15432,6990
Sunday,2013-01-06 22:00:00,13493,6229
Sunday,2013-01-06 23:00:00,11060,5497
Monday,2013-01-07 00:00:00,7433,4108
Monday,2013-01-07 01:00:00,4767,2795
Monday,2013-01-07 02:00:00,3040,1860
Monday,2013-01-07 03:00:00,2213,1399
Monday,2013-01-07 04:00:00,2346,1531
Monday,2013-01-07 05:00:00,4312,2591
Monday,2013-01-07 06:00:00,11383,4844
Monday,2013-01-07 07:00:00,20969,7358
Monday,2013-01-07 08:00:00,25945,8671
Monday,2013-01-07 09:00:00,23516,9124
Monday,2013-01-07 10:00:00,18984,8710
Monday,2013-01-07 11:00:00,17978,8351
Monday,2013-01-07 12:00:00,18843,8371
Monday,2013-01-07 13:00:00,18547,8461
Monday,2013-01-07 14:00:00,20833,8859
Monday,2013-01-07 15:00:00,20934,8563
Monday,2013-01-07 16:00:00,18291,7767
Monday,2013-01-07 17:00:00,22678,8664
Monday,2013-01-07 18:00:00,28072,9728
Monday,2013-01-07 19:00:00,27334,9694
Monday,2013-01-07 20:00:00,23927,9327
Monday,2013-01-07 21:00:00,20476,8709
Monday,2013-01-07 22:00:00,19542,8183
Monday,2013-01-07 23:00:00,14647,7162
Tuesday,2013-01-08 00:00:00,9109,5157
Tuesday,2013-01-08 01:00:00,5561,3394
Tuesday,2013-01-08 02:00:00,3660,2244
Tuesday,2013-01-08 03:00:00,2426,1609
Tuesday,2013-01-08 04:00:00,2228,1495
Tuesday,2013-01-08 05:00:00,3862,2401
Tuesday,2013-01-08 06:00:00,11117,5024
Tuesday,2013-01-08 07:00:00,21938,7771
Tuesday,2013-01-08 08:00:00,27697,9196
Tuesday,2013-01-08 09:00:00,25315,9641
Tuesday,2013-01-08 10:00:00,21389,9489
Tuesday,2013-01-08 11:00:00,19866,9078
Tuesday,2013-01-08 12:00:00,21177,9073
Tuesday,2013-01-08 13:00:00,20836,9133
Tuesday,2013-01-08 14:00:00,22560,9430
Tuesday,2013-01-08 15:00:00,21928,8914
Tuesday,2013-01-08 16:00:00,18537,7870
Tuesday,2013-01-08 17:00:00,23831,8783
Tuesday,2013-01-08 18:00:00,29299,10008
Tuesday,2013-01-08 19:00:00,29229,10258
Tuesday,2013-01-08 20:00:00,26511,10054
Tuesday,2013-01-08 21:00:00,25660,9810
Tuesday,2013-01-08 22:00:00,21975,9162
Tuesday,2013-01-08 23:00:00,15208,7897
Wednesday,2013-01-09 00:00:00,9848,5725
Wednesday,2013-01-09 01:00:00,6259,3766
Wednesday,2013-01-09 02:00:00,3876,2398
Wednesday,2013-01-09 03:00:00,2888,1833
Wednesday,2013-01-09 04:00:00,2582,1702
Wednesday,2013-01-09 05:00:00,3895,2497
Wednesday,2013-01-09 06:00:00,11218,5102
Wednesday,2013-01-09 07:00:00,22137,7963
Wednesday,2013-01-09 08:00:00,27811,9338
Wednesday,2013-01-09 09:00:00,25238,9785
Wednesday,2013-01-09 10:00:00,20840,9455
Wednesday,2013-01-09 11:00:00,20565,9223
Wednesday,2013-01-09 12:00:00,21876,9279
Wednesday,2013-01-09 13:00:00,21445,9432
Wednesday,2013-01-09 14:00:00,23128,9505
Wednesday,2013-01-09 15:00:00,22719,9055
Wednesday,2013-01-09 16:00:00,18644,7992
Wednesday,2013-01-09 17:00:00,23411,8804
Wednesday,2013-01-09 18:00:00,30050,10195
Wednesday,2013-01-09 19:00:00,30076,10301
Wednesday,2013-01-09 20:00:00,28192,10245
Wednesday,2013-01-09 21:00:00,27644,9979
Wednesday,2013-01-09 22:00:00,24077,9582
Wednesday,2013-01-09 23:00:00,17582,8499
Thursday,2013-01-10 00:00:00,11996,6531
Thursday,2013-01-10 01:00:00,7244,4340
Thursday,2013-01-10 02:00:00,4709,2845
Thursday,2013-01-10 03:00:00,3069,1998
Thursday,2013-01-10 04:00:00,2806,1837
Thursday,2013-01-10 05:00:00,4067,2645
Thursday,2013-01-10 06:00:00,11246,5255
Thursday,2013-01-10 07:00:00,22578,8201
Thursday,2013-01-10 08:00:00,28175,9512
Thursday,2013-01-10 09:00:00,26164,9993
Thursday,2013-01-10 10:00:00,22153,9881
Thursday,2013-01-10 11:00:00,21065,9519
Thursday,2013-01-10 12:00:00,22126,9638
Thursday,2013-01-10 13:00:00,21303,9614
Thursday,2013-01-10 14:00:00,23742,9754
Thursday,2013-01-10 15:00:00,22817,9291
Thursday,2013-01-10 16:00:00,19286,8272
Thursday,2013-01-10 17:00:00,24357,9050
Thursday,2013-01-10 18:00:00,31797,10499
Thursday,2013-01-10 19:00:00,32693,10978
Thursday,2013-01-10 20:00:00,30768,10933
Thursday,2013-01-10 21:00:00,30105,10590
Thursday,2013-01-10 22:00:00,28242,10379
Thursday,2013-01-10 23:00:00,23142,9759
Friday,2013-01-11 00:00:00,16517,8271
Friday,2013-01-11 01:00:00,10920,5911
Friday,2013-01-11 02:00:00,7160,4049
Friday,2013-01-11 03:00:00,4736,2809
Friday,2013-01-11 04:00:00,3789,2375
Friday,2013-01-11 05:00:00,4245,2764
Friday,2013-01-11 06:00:00,11461,5232
Friday,2013-01-11 07:00:00,21878,8045
Friday,2013-01-11 08:00:00,27535,9380
Friday,2013-01-11 09:00:00,25778,9767
Friday,2013-01-11 10:00:00,22005,9623
Friday,2013-01-11 11:00:00,21641,9289
Friday,2013-01-11 12:00:00,23292,8724
Friday,2013-01-11 13:00:00,24200,9094
Friday,2013-01-11 14:00:00,25088,9700
Friday,2013-01-11 15:00:00,24112,9236
Friday,2013-01-11 16:00:00,19186,8118
Friday,2013-01-11 17:00:00,23599,8476
Friday,2013-01-11 18:00:00,30126,9875
Friday,2013-01-11 19:00:00,34607,10685
Friday,2013-01-11 20:00:00,33248,11039
Friday,2013-01-11 21:00:00,31942,10789
Friday,2013-01-11 22:00:00,31177,10535
Friday,2013-01-11 23:00:00,30442,10265
Saturday,2013-01-12 00:00:00,27605,9954
Saturday,2013-01-12 01:00:00,23255,9090
Saturday,2013-01-12 02:00:00,18943,8029
Saturday,2013-01-12 03:00:00,13684,6415
Saturday,2013-01-12 04:00:00,8283,4459
Saturday,2013-01-12 05:00:00,3854,2493
Saturday,2013-01-12 06:00:00,4138,2618
Saturday,2013-01-12 07:00:00,6462,3751
Saturday,2013-01-12 08:00:00,10336,5107
Saturday,2013-01-12 09:00:00,15193,6511
Saturday,2013-01-12 10:00:00,19122,7556
Saturday,2013-01-12 11:00:00,21220,8129
Saturday,2013-01-12 12:00:00,23517,8512
Saturday,2013-01-12 13:00:00,24316,8966
Saturday,2013-01-12 14:00:00,23407,9092
Saturday,2013-01-12 15:00:00,23995,9101
Saturday,2013-01-12 16:00:00,22594,8303
Saturday,2013-01-12 17:00:00,25286,8827
Saturday,2013-01-12 18:00:00,28878,9796
Saturday,2013-01-12 19:00:00,31358,10290
Saturday,2013-01-12 20:00:00,28627,10418
Saturday,2013-01-12 21:00:00,27647,10170
Saturday,2013-01-12 22:00:00,30372,10376
Saturday,2013-01-12 23:00:00,33567,10479
Sunday,2013-01-13 00:00:00,31890,10307
Sunday,2013-01-13 01:00:00,28364,9781
Sunday,2013-01-13 02:00:00,24446,8977
Sunday,2013-01-13 03:00:00,18723,7779
Sunday,2013-01-13 04:00:00,11384,5741
Sunday,2013-01-13 05:00:00,4586,2846
Sunday,2013-01-13 06:00:00,4018,2514
Sunday,2013-01-13 07:00:00,5436,3216
Sunday,2013-01-13 08:00:00,8182,4199
Sunday,2013-01-13 09:00:00,12035,5429
Sunday,2013-01-13 10:00:00,17278,6770
Sunday,2013-01-13 11:00:00,21652,7858
Sunday,2013-01-13 12:00:00,23257,8321
Sunday,2013-01-13 13:00:00,23347,8660
Sunday,2013-01-13 14:00:00,23643,8881
Sunday,2013-01-13 15:00:00,22663,8786
Sunday,2013-01-13 16:00:00,22136,8358
Sunday,2013-01-13 17:00:00,22819,8433
Sunday,2013-01-13 18:00:00,23025,8617
